symbol,name,totalVolume
pidibi,PIDIBI PODIBY,27623332
ordinal-faces-memes,Ordinal Faces Memes,27486900
awakened,Awakened,27352200
opcatbats,OPCAT BATS,27350000
recursive_pepe,Recursive PEPE,27278690
the-infinite-money-glitch,The Infinite Money Glitch,27235000
impossible_artifacts_generation_zero_wave_1,IMPOSSIBLE ARTIFACTS: GENERATION ZERO (WAVE 1),27200000
ordinal-party,Ordinal Party,27200000
orducks,OrDucks,27185000
bitbitbits,BITBITBITS,27104610
blackstone,BlackStone,27065645
ordinalgoros,OrdinalGoros,26966000
nekoneko,Neko Neko,26920119
ordinal-minis,Ordinal Minis,26876000
opiummilady,OPIUM MILADY,26720000
helpmedebugthis,HelpMeDebugThis,26550059
ordinal_apes_pixelated_,Ordinal Apes Pixelated,26534110
blockfrogs,blockFrogs,26498963
brc420-dragonball,Dragon Ball,26460700
bitcoinbirds,Bitcoinbirds,26435359
bitbulls,BIT BULLS,26414000
aaclub,99999 Action Alien Club,26313500
osushi-san_voxel_ordinals,osushi-san Voxel Ordinals,26303000
oap,Ordinal Ape Punks,26294000
speed,S.P.E.E.D. by Joe Ordinals,26219869
whoami,whoAmI,26172854
runechainx,RuneChainX,26099280
sosc,Satoshi Ordinals Space Club,25967990
pixelpepe_omb,Pixel Pepe  Maxi Biz,25929200
btc-domination,BTC Domination,25900318
naticats,NATimated cats,25852201
diy-punks,D.I.Y. Punks,25832000
elapsed,Elapsed by Pawel Dudko,25727300
xtai-og-pass,x.TAI OG PASS,25690000
rats_and_mice_uprising,Sick Bastards,25640890
official-scream,Scream,25566549
badzuki,Badzuki,25555000
bitcoinmaxissociety,Bitcoin Maxis Society,25368670
btc-mutant-operator,BTC Mutant Operator,25327100
infinitypalin,Infinity Palindrome 🦋,25125357
satoapes,SATO APES,25006620
x2e_heroes_ordinals,X2E-HEROES-Ordinals,25000000
beweenworlds,Between Worlds by Des Lucréce,25000000
lasereyes,laserEyes,25000000
pixel_maxi_biz,Pixel Maxi Biz (PMB),24965451
vor,Versions of Recursion,24893629
uncommon-star-sign,Uncommon Star Sign,24889000
rare78,Rare 78,24845459
black-doges,Black Doges,24740000
exotic_sats,Exotic Sats Store by @DAnTerBTC,24630000
300ordinalsclub,300ordinalsClub,24550000
bitrocks,Bitrocks - BRC 721,24546800
occ,Ordinal Cool Cats,24538000
ibb,"I'm Back, Bitches",24452246
engraved-dragons,Engraved Dragons Ancients,24418000
bitcoinjurassic,Bitcoin Jurassic,24336162
bitcoin-girls-butterfly,🦋Bitcoin Girls Butterfly🦋,24334000
dmt-noisex,Noisex,24186362
plastica,Plastica by Andrea Belloni,24119000
btcundead,BTC UNDEAD,24100000
pixel-quote,PixelQuote NFT,23918650
satoshibet_fun,SatoshiBet,23895499
taproot,Taproot Alpha Genesis,23823721
mini-ordinal-julio,Mini Ordinal Julio,23790000
deezy-vibe,Deezy Vibe,23783333
blockavatars,Blockavatars,23744130
superchief-ordinals-genesis,Superchief Ordinals Genesis,23722900
cypherbisons,Cypher Bisons,23698879
sat-magicians,Sat Magicians,23603588
artisticsordinals,Artistics Ordinals 🦋 [Mexico],23565001
the-seeker,The Seeker,23500000
inscribed_iguanas,Inscribed Iguanas,23481980
shinigami,SHINIGAMI by Memphis,23357174
bis-artifacts-the-golden-ones,BiS ARTIFACTS - The Golden Ones,23293000
nekohige_sign,Nekohige Sign,23290900
brc420-chipchipgame-box,brc420-chipchipgame-box,23253980
fractal-punks,Fractal Punks,23239868
singularity,Singularity Genesis,23220000
voxels,Voxels by Billy Restey,23219576
nakamoto-ordinals,Nakamoto Ordinal,23200000
bitcoinnumbers,Bitcoin Numbers,23200000
abc,Anonymous ₿itcoin Club,23139000
ordinary-trees,Ordinary Trees by Gene P. Talbot,23078650
bitcoin-baller-cards,Bitcoin Baller Cards,23000000
timg,The Infinite Money Glitch: Game Items,22987660
ghostongenify,GHOST on Genify,22938900
palindromesawesomebear,Palindromes Awesome Bear,22919900
nodedogzz,NodeDogzz 🟠,22884615
chromaticaord,Chromatica Ordinals,22880000
ninja_turtle,Ninja Turtle,22800000
aboveathena,Above Athena,22784560
btcbearsclub,Bearz Club,22740000
synthesis,Synthesis by OTO,22500000
ordcircles,ORDCircles,22490000
descent-into-darkness,Descent into Darkness,22487200
mallard-order,The Mallard Order,22411000
terrains_ii,TERRAINS II by ThankYouX,22318899
voroterra,Voroterra,22289010
masterpass,MasterWorks MasterPass,22220800
the_bees,The Bees,22210179
nannnan,NaNNNaN by tsitraton,22200900
mysticruneminer,Mystic Rune Miner,22119000
pwer-ceo-letter,PWER CEO Letter,21921932
exo_recruits,ExO Recruits,21893206
soley,Soley,21878189
alphapepes,Alpha Pepes,21779886
bitcoin_wonder_punks,Bitcoin WonderPunks,21752000
btctaprootwzrds,Bitcoin Taproot Wizards,21728528
bsd,Bitcoin Sneaker Dogg,21710000
seekermint_gems,Seekermint Gems,21613904
unitacs,UNITACS,21586175
block9_pomb,Block 9 Pixelated OMB,21580100
monkey-kingdom,Monkey Kingdom (Ordinals),21535900
ordinalmeows,ordinalmeows,21480000
bitcoin_swords,Bitcoin Swords,21317800
bitdodos,BitDodos,21007473
ordinalwojaks,Ordinal Wojaks,20996700
ordinalsflow,Ordinals Flow,20910150
ordglyph,Ordglyphs,20878015
yeti-bit-club,Yeti Bit Club,20863000
bitcoin-eyes,Bitcoin eyes,20818000
poorheads,Poorheads,20790864
girlsonbitcoin,Girls On Bitcoin,20729000
moonkees,Moonkees - BRC 2.0,20708631
on_chain_chaos,On Chain Chaos,20700000
lsdbtc,Leonidas Stoned Dynasty (LSD),20484478
dmtnateggs,DMT Nateggs,20452833
silkroad-puppets,Silkroad Puppets,20311968
cryptoangels_by_trevor_jones,CryptoAngels by Trevor Jones,20190788
badgeofhonor,Badge Of Honor,20139740
loud,Loud,20051289
geometryofdreams,The Geometry of Dreams by Artifishal,20000000
bitcoin-magazine,Bitcoin Magazine Historic Covers,20000000
octalcurves,OctalCurves,20000000
pestctrl,PEST CTRL,19925845
dmt_natdiamonds,NatDiamonds,19878424
bitcoindinos,Bitcoin Dinos Eggs,19705000
uncommonpunks,Uncommon Punks,19688430
shari-nscriptions,SHARI-nscriptions,19621800
gutter-legends,Gutter Legends,19604000
pepeordinalsfreemint,Pepe Ordinals (free mint),19594833
trollbtc,TROLL,19559870
the_ring,The Ring,19533449
acidmines,AcidMines,19500000
galaxy-dust,Galaxy Dust,19500000
ordinoid,OrdiNoid,19470269
gme,GME,19440600
recursive-apes,Recursive Apes,19388500
zenon-core,Zenon Core,19326000
brc20niubi,brc20NiuBi,19270000
runeverse,RuneVerse on Genify,19263554
gr5,GEAR 5,19260000
sat-names-11k,SatNames 11K,19210000
blockparty,Block Party,19178493
rooster,ROOSTER BRC 2.0,19164849
bonerdinals,Bonerdinals,19122200
ordinal-gradation-block9,Block 9 Ordinal Gradation,19095000
runemonkes,Rune Monke,19081487
scribe_squad,The Inscribables (Scribe Squad),18993260
best-before-by-lemonhaze-x-ordinally,BEST BEFORE by Lemonhaze x ORDINALLY,18992923
bitcoindickbutts,Bitcoin Dickbutts,18893100
ordinal-satoshis,Ordinal Satoshis,18834340
porta-nefesh,Porta Nefesh - Gates to the Soul,18798176
bali-whales,Bali Whales,18765500
bitverse,Bitverse,18662530
fl1ck3r,FL1CK3R by Bryan Brinkman,18550000
cnm,CustomMonkes,18547600
123ordinals,123,18531400
ordinaldogegenesis,Ordinal Doge Genesis,18415000
ordies,0rD13s,18400000
natowls,Natowls - The First Dynamic UNAT collection,18380590
wen,wen,18272635
killerbeans,Killer Beans,18265128
ccl-o,Cyber Cats Lovers Ordinals by Jazzy,18231800
miniords,Miniords,18201588
mfers,ordinal mfers,18111800
zeropfp,Zero PFP,18052405
spellbound,SPELLBOUND,18040300
vector,Vector,18039089
brc20-swap-early-access, brc20-swap Early Access,18025000
btc-cards,BTC Cards,18000000
doodle_doos,Doodle Doos,18000000
punks_,!PUNKS,17998058
rarescrillasounds,RARE SCRILLA SOUNDS V.1,17990000
satoshiwizards,Satoshi Wizards,17983700
tmb,TaprootMaxiBiz,17979873
narcos,NARCOS: El Patrón,17919145
topcats,tOPCATs,17806023
sidekast-ordinals,Sidekast Ordinals,17717386
ordinalmisfitsbackpacks,Ordinal Misfits Backpacks,17660130
americana,Americana,17609999
quadkey,Quadkey,17567237
basic,BASIC BRC 2.0,17441143
ordi_punk,OrdiPunk,17411179
xglyphs,CosmosX Glyphs,17342500
brc420_ordz_games_arcade,Ordz Games Arcade,17335325
redactedbtc,REDACTED,17318326
pali-nscriptions,PALI-nscriptions,17130000
dmtpandora,DMT-Pandora,17097032
tapizzas,Tapizzas,17082000
reforms,reforms by Donny Clutterbuck,17032000
sgvsbg8gv29ybgq,Rax,16900000
birds,Bitcoin Birds,16874989
oto,1/1 Origin by OTO,16800000
dmtnatfishes,natfishes,16726018
runeprotocol_miner,Runeprotocol Miner,16656200
palindrome-punks,Palindrome Punks by Blok,16623695
wordinals-by-janea,WORDINALS,16548400
pingoos_special_unit,Pingoos Pizza Unit ,16542000
old-fashioned-by-lemonhaze,Old-Fashioned by Lemonhaze,16472000
quantumordinals,Quantum Ordinals,16455000
cbs,Celestial Bears ,16447749
recursivelizard1885,Recursive Lizard 1885,16438809
ok,Ordinals Kiyoshi,16369000
bitshaders,Bitshaders,16327597
guldensats,Guldensats,16200000
qrate-gallery-pioneers-pass,Qrate Gallery Pioneers Pass,16149000
bitcoin-bees-hives,Bitcoin Bees: Hives,16103950
noggin,Noggin,16098971
fragmented-frames,Fragmented Frames,16050000
phinking,_phinking,16000000
bitcoin-allstar-ballin,Bitcoin All-Star Ballin,15990000
laser_eyes,Laser Eyes BRC 2.0,15914402
lfgods,Ordinal LFG gods,15900000
btc-duckz,BTC Duckz,15706300
inks,INKs,15683197
llich,Like Lichtenstein ROY,15675000
umwelt,The Umwelt AI by FAR,15624000
nfp,NodeFrogPunkinals,15562296
antiflow,Antiflow Ordinals,15550000
birdies,Birdies,15549526
dedpepes,DedPepes,15541900
notonbtc,NOT,15479076
journeytothewest,Block 9 Journey to The West,15450000
pepe-miladys,Pepe Miladys,15440840
ordskul,ordskul,15436027
mr-burnz,Mr.Burnz,15387230
natdragons,DMT Natdragons,15376063
brac,Battle Royale Access Card,15374860
portrait-2490,Portrait 2490 by Lemonhaze,15358450
pixel-piggy,Pixel Piggy,15301070
philately, Bitcoin Philately,15259134
reorg,REORG,15215950
gleam,Gleam by Pawel Dudko,15210000
subs,SUBS,15179900
bitbars,BITBARS GENESIS,15179000
pirate-jess-letter,Pirate Jess - Letter from CEO,15173500
raresatslilfox,Rare Sats LilFox,15167579
mtrx,Escape,15140000
presidentladies,President Ladies,15028208
skullbros,Skullbros,14961865
haha_glitchframes,HAHA Glitchframes,14926352
sweethearts,Sweethearts,14887862
ordinal-stream,Ordinal Stream,14761900
i-love-you-by-whisbe,I Love You by WhIsBe ,14690000
samas,Satomasks,14681600
cypherpunkss,Cypher Punks,14651104
resilience,Résilience by Camille Roux,14557712
primz,PRIMZ,14513691
basedordinouns,Based OrdiNouns,14469000
blok-boyz,Blok Boyz,14466847
ordinaldoggies,Ordinal Doggies,14466800
griftmo,Griftmo,14438329
moon_pepe,Moon Pepe,14421480
ordi_pepe,Ordi Pepe,14386000
the_zero,The Zero,14312300
themisfits,The Misfits,14263826
satoshipuppets,Satoshi Puppets BRC 2.0,14120019
htr_palindrome_runners,HTR Palindrome Runners,14063000
no-way-by-joe-crimer,NO WAY! by Joe Crimer,14037537
gusbtc,Gus Btc,14029036
cna-ordinals,CryptoNinjaAgent Ordinals,14005069
fire,FIRE,14004556
sat_headz,SatHeadz,13989000
stars,Starz,13960000
penni,Penni,13924926
spud,Spud,13907000
waaa,WAAA,13906090
pup_pets,PUP•PETS,13899396
ladudu,Ladudu,13865219
bitcoin-snake-game,Bitcoin Snake Game,13854000
1337,1337 Ordinals,13842000
standard,STANDARD (TheBitcoinStandardDAO),13799999
hug,HUG,13770000
deprivation-by-lemonhaze,Deprivation (Prints) by Lemonhaze,13755000
dogo,Dogo,13752757
yonder,YONDER,13683599
bitcoin-digits-5d,Bitcoin Digits 5D,13656900
tinted-shades,Tinted Shades,13653950
zorglax,Zorglax,13610990
community,Satributes - Community,13545300
counterfeit-ordained,counterfeit ordained,13503100
deaddegens,Ordinal DeadDegens,13490800
rat_race,Exit The Rat Race by PSYCHONØT ,13422900
brc420-blue-wand,BRC420 Blue Wand,13414600
sat_runner,Satoshi Runners,13384090
pings,Pings by Skies,13300559
historical,Historical Collection,13300000
fake_bitcoin_puppets,acoustic puppets ,13284785
btcdudes,BTC Dudes,13280000
ordinaldragons,Ordinal Dragons,13278630
skullx_collabs,Skullx: The Artist Series,13269375
bitcoin-bones,Bitcoin Bones,13262431
cocky-toshi,Cocky Toshi,13220000
lazynobodies,LazyNobodies,13150200
btc-survival-gear,BTC Survival Gear,13118999
blckblck,Blckblck,13103851
natplanets,Natplanets,13069686
bitmap_78,Bitmap Block 78,12990000
bitcoinrugs,Bitcoin Rugs,12981375
dysonswarm,Dyson Swarm by Nullish,12962699
recursive-labs-lines,Recursive Labs: Lines,12888800
bitcoinknots,Bitcoin Knots,12887293
chibi-ordinals,Chibi Ordinals,12880000
freeross,Free Ross,12824278
incarcerated-rodents,Incarcerated Rodents,12800000
mending-fragments-by-lemonhaze,Mending Fragments by Lemonhaze,12750000
save-the-jpegs,SAVE THE JPEGS by Lyndoco,12737989
bitcoinkitties,Bitcoin Kitties,12600000
runeseekers,Rune Seekers,12592189
domain_dot_magic,Domain Names .magic,12587794
dmt-opcat,dmt-opcat,12586666
ftminer,Fractal Token Miner,12512588
lotus-by-lemonhaze,Lotus by Lemonhaze,12450000
nyals,nyals,12439000
mirage-by-lemonhaze,Mirage (Prints) by Lemonhaze,12424990
the_master_of_runestones,RA - The Master of Runestones,12421490
bipit,BitcoinPixelTMA,12419000
abstract_odyssey,Abstract Odyssey,12371379
legacyseal,Ordinals Legacy Seal,12365000
pulsar,Pulsar by OTO,12294150
cheekzcarrots,Cheekz Carrots,12291020
chaosguild,Skulz Chaos Guild,12289550
ordinaldoges,Doge Capital Ordinals,12147700
uuun,uuun,12124000
moon-medallions,Fio Genesis Moon Medallions,12114800
oaxaca-by-lemonhaze,Oaxaca by Lemonhaze,12100000
ordinal-kaz-marquis,Cubic A: Kaz Marquis,12092000
runemilio_the_elder_edda,Runemilio: The Elder Edda,12070101
21-million-jaburs,21 Million Jaburs,12069000
ghostechoes,Ghost Echoes by OTO,12057426
nouns_ordinals,Nouns Ordinals,12055000
theones,MEMETIK ARTIFAKES,12034690
tiny-dinos,tiny dinos,12000000
ordirobots,OrdiRobots,11990000
dyles,dyles by dyle,11947654
ordinalbears,Ordinal Bears,11934000
ovo,OvO,11919367
first-flags,First Flags,11900000
ordinals-piggies,Ordinal Piggies,11890700
oeds,Orange Editions by Sunken0x,11818590
mentorsmint,THE•INFINITE•MONEY•GLITCH:THE GAME - MENTORS MINT,11810655
btcparfum,BTCparfum,11771096
polylith,Polylith by OTO,11682846
bcg_cryptomancers,Cryptomancers,11661279
omc,Ordinal Monkey Club,11656400
f4f,🪷 Flowers4Finney by Palindromes.io,11654299
chaotic_patchwork,Chaotic Patchwork,11641808
berlin-by-lemonhaze,Berlin by Lemonhaze,11640000
opulence-prints,OPULENCE Prints by The Color Blocks,11518488
moja_ordinal,MoJa Ordinal,11499000
nomeart,NOME ART,11496659
fudstone,FUDSTONE,11451342
windex,WINDERP,11441609
nkart,NK.art,11340000
ordinal_bonsai_garden,Ordinal Bonsai Garden,11321000
solemngammaprints,BTC EDITIONS BY SOLEMN,11258705
yama,Yama Wrld,11209123
bitminer,BITMINER ,11207070
regens,Regens,11200000
cypher_pass,Cypher Pass,11198208
circuskinder,Circuskinder,11193484
kingdom_puppets_act_i,Kingdom Puppets - ACT I,11187269
btctoadpunks,BitcoinToad Punks,11167365
bitcoin-girls,Block 78 Bitcoin Girls,11142000
hash_pepe,Hash Pepe,11118525
bsd11,Bitcoin Sneaker Dogg11,11100000
ordinal625,Ordinal 625 Spirit Miners,11071056
momageese,Geese Postcards,10971000
ordinal-women,Ordinal Women,10964000
clucks,Clucks,10933000
dstrct111,DSTRCT 111,10900000
satoshifinneycc,Satoshi & Finney's Curious Curations,10870000
cockspills,C.O.C.K.S Pills,10842893
bitfarm_heroes,Bitfarm Heroes,10840900
hootenanny,Bitcoin Hootenanny,10809000
ordinals-is-dope-spliffy,Ordinals is Dope - Spliffy,10768744
antediluvian,Antediluvian - Scorched Tides,10738545
ephemera,Ephemera,10720000
fat_puppets,Fat Puppets,10716071
revoloots,REVOLOOTS,10716000
every_month_new_york,Every Month - New York (Union Square),10710000
central-wankers-gensler,Central Wankers: Gensler,10677827
obg,Ordinals BOY&GIRL,10646000
unga,UNGA,10617946
bq,BitQuacks,10568000
uncommon-doges-prints,Doges Prints,10559800
eldersofcrypto,Elders Of Crypto,10500000
cypherpunk,CYPHERPUNKS,10500000
omcc,Ordinal Meerkats Country Club,10479990
bitcoin-world-collection,Block 9 Bitcoin World Collection,10400000
milliondollarcoins, Million Dollar Coins,10394198
doom,DOOM by GL1TCH STUDIO,10390620
vintage,⏳ Vintage,10352000
mongoose_on_bitcoin,Mongoose On Bitcoin (MOB),10330150
coinheads,Coinheads,10317757
genskullz,GenSkullz by MDV,10223488
ordinals-doggy-dogs,Ordinals Doggy Dogs,10188000
maxiturdles,MaxiTurdles - BitcoinComics Vol. 2,10176634
pependrians,Pependrians,10169420
cigs,Cigarettes,10165649
runescape,.runescape,10134950
one,ONE x BASED Feat. Artist Dutch,10084000
the_orange_oath,The Orange Oath by The Path to Kyorikai,10043434
ordinal-guests,Ordinal Guests,10030000
editions_far,FAR - Editions,10029000
island-idols,Island Idols,10000000
centurion-capital,Centurion Capital,10000000
ai,Artificial Intimacy,10000000
evolucion,EVOLUCION,10000000
super-early-ordies,Super Early Ordies,9955800
cexeditions,Cex Editions,9952400
wolf_epic_club,Wolf Epic Club,9950000
bromans_s2,Bromans S2: Underworld ,9913600
notsaints,Not Saints by Artifishal,9833200
demonkes,Demonkes◉ᛪ,9830543
inscribedsats,Inscribed Satoshis,9828800
magicrunes,Magic Runes,9796100
the-bitstones,The Bitstones,9789600
swagpepes,SWAGPEPES by swagt0shi,9780000
ordinal-snakes,Ordinal Snakes Club: Golden Snakes,9757780
zbitters_btc,Zbitters BTC,9728400
bitbrews,Bitbrews,9707900
angrybirdcoiners,Angry Birdcoiners,9700000
karmz,Karmz Ordinals,9686000
wiz0rado,wiz0rado,9652914
wpgospel,The Gospel Of World Peace,9629949
ai_puppets_v0,AI Puppets v0,9622319
blockhz-pass,BlockHz Pass,9608307
every_month_berlin,Every Month - Berlin,9575000
infinite_shadow_rogues,Infinite Shadow Rogues,9567833
1millionape,1MillionApe,9523999
agro,AGRO METAPROTOCOL,9491800
8x8_people,8x8 People,9470800
ordinaldb-saiyans,OrdinalDB Saiyans,9449000
mdspatavtoitpanstansicbbd,"My Dog Shat Pixels, Ate Them And Vomited Them Out, I Took Pictures And Now Selling Them As NFTs So I Can Buy Better Drugs",9448000
bitskiart,BITSKI ART,9446500
verylonganimalsorigin,VeryLongAnimals Origin,9400000
flipped-pixel-pepes,Flipped Pixel Pepes,9389920
rugs_month_one,Rugs - Month One,9383900
bitcoin-white-paper,Bitcoin: A Peer-to-Peer Electronic Cash System,9380000
mhi-evolution,MH//I EVOLUTION,9337280
bitoshi,Bitoshi,9309900
nirvana,Nirvana,9299900
bitmapsunset,Bitmap Sunset,9257000
boring-parties,BORING PARTIES CO.,9218680
saikyogirls,SaikyoGirls,9206500
spirals,Spirals by Eka,9200000
owl,OWL,9170735
ombe,OMB Elementals,9170000
bitcoin_froots,Rare Froots,9126490
hiros,Hiros by Heart You,9112500
unemployed-artist,Unemployed Artist,9109556
qrcp,Quantum Rune Cheeto Puppets,9014220
cheesus_but_pop_art,cheesus but Pop Art,9008210
001,001 by b1narybabe,9000000
cursed-apes,Cursed Apes,9000000
dogtothemoon,Dog to the moon,8961800
bitmages,Bit Mages,8948580
madmonkies,Mad Monkies,8948133
the_box,The Box,8930738
hafftka,Ordinals by Hafftka,8900000
degn,Bitcoin Wojak,8891900
cursedcorns,Cursed Corns,8881000
glam,GLAM,8871100
neopunks,NeoPunks,8836440
runescats,RuneCats,8822720
moonboundheroes,Moon Bound Heroes by Lunatics,8806000
bitdogs_bones_boost,Bitdogs $BONES Boost,8734797
nodedoges,Node Doges,8734680
satoshi-shellz,Satoshi Shellz,8707000
signature-series,OMPool,8700000
volatility-by-lemonhaze,Volatility by Lemonhaze,8684000
ombcats,OMB CATS,8645000
omb_641,OMB #641,8641190
bitcoin-hippos,Bitcoin Hippos,8620000
nanopunks,NanoPunks,8613230
apostles,APOSTLES,8602669
diyordibots,DiyOrdiBots,8577758
theunseenbtc,The Unseen,8564620
bifurcation-artefacts,BIFURCATION ARTEFACTS by The Color Blocks,8560000
creamcats,Cream Cats,8545000
bitbot-bitpet_series,BitBot - BitPet Series (1/5),8528289
karana-ogpass,Karana OG PASS,8527900
inscribed-mooncats,Inscribed MoonCats,8469129
still-life-by-vinnie-hager,Still Life by Vinnie Hager,8459000
negative-apes,NEGATIVE APES,8373300
spudlings,Spudlings,8360724
where_is_dogooooo,Where is dogooooo by SAYOOOOOh,8350000
cnc-ordinals,CNC Ordinals,8350000
recursive-tokyo-vintage-78,Recursive Tokyo Vintage 78 by Mag,8341500
bit,BitMage,8322374
faded,Medici Faded,8319000
trippyland,TRIPPYLAND,8318900
bitcoin_spartans,Bitcoin Spartans,8304093
fractopus-unrevealed,Fractopus Unrevealed,8290571
bnm,Bitcoin Nouns Metabatch,8284600
iagm,Illiquid Alien Garbage Monsters,8273700
bitcoin_dragons,Bitcoin Immortal Dragons,8251600
birdybites,BIRDYBITES,8245000
cummie_sockz,LeL fWENs,8245000
quirky,Quirky ,8245000
ocg,Ordinal Cat Gang (OCG),8238000
satoria_mag,Satoria Mag,8235300
pixel_crocos,PIXEL CROCOS,8220000
taproot-shrooms,Taproot Shrooms,8219900
bis-artifacts-the-celestial-ones,BiS ARTIFACTS - The Celestial Ones,8206890
xfrogs,xFrogs,8192750
the-militants,The Militants ,8161000
dumbdeaddinos,Dumb&DeadDinos (D&DD),8150000
wolfofbitcoin,Wolf Of Bitcoin,8089900
ribbit-flags,RIBBIT Flags,8080000
satoshi-legacy-founder,Satoshi Somos Todos,8067000
tozemon,Tozemon,8056990
brc420_giants_planet,Giants Planet: Giants Ordinals,8024310
machinations-of-hex,Machinations of Hex by ⌬ Enchained.Games,8000000
moral_dilemma,Moral Dilemma,8000000
bitcoin-celebreties,Bitcoin Celebrities,7990000
satoshis,Satoshis,7980000
satoshiroll,SatoshiRoll,7975990
lesfleurs,Les Fleurs,7975200
bexisted,"""B"" existed",7966600
xo,ExtraOrdinals,7900000
and_names,&names,7850000
patterns_deth, Plottable Patterns by Deth,7775586
neurals,Neurals,7770029
nattrees,NatTrees,7752500
cloudskull,CLOUD SKULL,7750000
c-c,ORDINAL EDITIONS by OK,7731000
optwick,The Orange Pill by Twick,7725000
evilpumpkins,Evil Pumpkins,7683575
naked_llama_gold,Naked Llama Gold,7655000
doland_and_friendz,DOLAND & FRieNdZ,7654960
troomps,troomps,7597379
central-wankers-yellen,Central Wankers: Yellen,7593158
aliens-of-fairness,Aliens of Fairness,7583969
beatblock-genesis,BeatBlock Genesis,7573162
recursions,Recursions by Billy Restey,7548500
ordinal-creatures,Ordinal Creatures,7540500
dogooooo_medal,dogooooo medal,7532000
analogs,Analogs,7531800
ghost,GHOST,7531300
bit-grids,BitGrids,7500000
ctrl_the_fed,CTRL The Fed,7500000
reservoirdogs, Reservoir Dogs,7486149
rasc,RASC (Rotten Anti Social Club) BTC,7472135
btc-murica,BTC Murica,7442883
runescan,RuneScan by Mag,7433058
outcast_rogroks,Outcast,7358530
bar-tapas-by-lemonhaze,Le Bar à Tapas by Lemonhaze,7345000
dog_ninjas,$DOG Ninjas,7344490
babywhales,Baby Whales,7323233
mycelioid,Mycelioid Prints by Pawel Dudko,7305600
learn_to_fly,Learn To Fly by Eka,7275000
polaroid-by-lemonhaze,Polaroid by Lemonhaze,7272000
candidly-yours-by-lemonhaze,Candidly Yours by Lemonhaze,7260000
bitring,BITRING,7254500
polyphos,Polyphos by Pawel Dudko,7228057
brcbuds,BRC Buds,7212001
wassie,Wassies,7192000
bitcoin-bots,Bitcoin Bots,7188000
ordinal-frogs,Ordinal Frogs,7150000
truth,TRUTH,7140013
runetoshi_,Runetoshi,7130000
froginals,Froginals,7130000
bitscapes,BitScapes,7116100
cybords,CybOrds by Artography,7105200
cryptoninja_pixel_characters,CryptoNinja pixel characters,7062990
harmonix-series-zero,Harmonix series zero,7055900
a_piece_of_me,A PIECE OF ME BY IFXSCRIPT ,7016201
luminous-dimensions,Luminous Dimensions,7000000
ride_that_bull,Ride That Bull! by Eka,6940000
rareearth,RareEarth,6900000
ocean-origins,Ocean Origins,6900000
thelasttradebyartifishal,The Last Trade by Artifishal ,6900000
uncommonblocks,Uncommon Blocks,6900000
ordinalmb,Ordinal Monkey Business,6820000
bitcorn,BitCorn,6794000
alien_ordinals,Alien Ordinals,6786330
ordinal_smiles,Ordinal Smiles,6764000
lost-shapes,Lost Shapes,6710000
codewass-outcasts,CodeWass: Outcasts,6666129
not-a-painting-by-medusa,Not a Painting by Medusa x Vivid Gallery x OnChainMonkey®,6652499
btc_pandas,btc_pandas,6614395
rsic-pool,RSIC POOL by Runes Collective,6601870
cybordinals,CYBORDINALS,6597000
verylonganimals-babies,VeryLongAnimals & Babies,6590000
wprebels,World Peace Rebels,6588331
qbx,QUBIIXX Ordinals,6567375
queens,QUEENS by FAR,6567100
runic_portals,Runic Portals by MDV,6553170
bitcoin_poop,Bitcoin Poop,6546000
yinyang_punks,阴阳 PUNKS,6531075
giant-trump,Giant Trump,6517497
redacted_frog,Redacted Frog,6500000
404pagenotfound,404 PAGE NOT FOUND,6457000
the-hive-guardian,The Hive Guardian,6430000
dmtruth,Divine Messengers of Truth,6400000
nodemotion,Motion Node Monkes by BCMDRAWSMOTION,6392998
xmonkes_og_pass,xMonkes OG Pass,6390000
baddaysbitcoin_stanlee_fineart,Bad Days Bitcoin,6385000
spring,Spring,6376900
satoshiarmy,Satoshi Army,6357385
thycuke,Thy Cüke,6310000
genesis_hashes,Genesis Hashes,6303995
test-by-john-provencher,[test] by John Provencher,6280000
dank,Dank,6277000
reflections-og,Reflections OG Mint Pass,6263700
tentation-by-lemonhaze,La Tentation by Lemonhaze,6250000
ars_machina,Ars Machina by Theezy,6246000
rpgcard,RPG CARD,6245300
hexacats,Hexacats,6221691
pixelpepesrarecard,Pixel Pepes Rare Card,6220000
kitsune,Kitsune,6208511
every_month_manhattan,Every Month - New York (Manhattan),6205000
digi-mini,Digi Mini Gold,6174000
recursive-hall-of-fame,Ordinals Recursives,6160000
banksy2,SpZjulien Set 2,6155000
natdoge,DMT- NatDoge,6148915
central-wankers-lagarde,Central Wankers: Lagarde,6135699
tgl,The Glitch by Sunken0x,6120000
kkyg_newspeak,Newspeak,6110000
pawsome,Pawsome Feline Parade(PFP),6088640
mist_weavers,Mist Weavers,6049990
beggy-momies,Beggy Momies,6033341
primordinalpunks,Primordinal Punks,6028000
recursive-labs-dots,Recursive Labs: Dots,6018000
salvator-satoshi,Salvator Satoshi,6000000
uncommon_coinscriptions,Uncommon Coinscriptions,6000000
the-taruguitos,The Taruguitos,5992800
bitz,Ordinal Bitz,5991901
uncommon-club,Uncommon Club,5990000
runesdog,RunesDog Edition by Viola Misscode,5976647
bitkey_,Bitkey,5965800
0asis,0asis,5964872
spiritmonkeys,Spirit Monkeys,5945900
