symbol,name,totalVolume
ayeliens,AYELIENS: World Domination,1571608817
node_wizards,Node Wizards,1547664794
neighbor,neighbor,1534722673
trgm,The Rune Guardians - Miners,1534575206
ordartnet,Ordinals Artnet,1506297167
xounchained,XO Unchained (BRC-555),1493253859
bitcoin-bears,Bitcoin Bears,1489118914
boneys,Boneys by Bitcoin Burials,1466632673
neoyauto,Neo Yauto,1455355044
ordz-heroes,Ordz Heroes,1439112984
cypherglyphs,Cypherglyphs by Billy Restey,1426097899
mhi,Mutant Hounds: Inscriptions,1424741340
ratsfriend,RatsFriend,1402397767
dmt-natdogs,Natdogs,1377948511
abstractbeings,Abstract Being by memphis,1375651598
pizza_artifacts,Pizza Artifacts,1374037222
domoducks-serial-edition,DomoDucks (Serial Edition),1363114281
recursivepunks,Recursive Punks,1360701121
everydaysats,EVERYDAY SATOSHIS,1313414881
stepepes,STEPEPES by LORS,1310111556
fmp,Mining Passes,1278621684
oracles,Oracles,1271741300
karmacard,KarmaCard,1261712934
lasogette,Lasogette,1258395327
clay-collective,Clay Collective by Brrrbon,1257010553
buzz-buzz-buzz,BUZZ BUZZ BUZZ by FAR,1250513803
persona,Persona by Rupture,1237771959
axolotlvalley,Axolotl Valley,1233315859
genesis,GeniiData Genesis Pass,1218450930
uncommonpatterns,Uncommon Patterns by Nullish,1218109000
bitcoin-bees,Bitcoin Bees,1213692104
sqordinals,Sqordinals,1207006869
runicminers,Runic Miners,1206719188
bitcoin-pizzas,Bitcoin Pizzas,1201124925
ftw,FTW,1177465601
ordinal-mimi,Ordinal MIMI by OTO,1176624200
terrabits,TerraBits,1175817781
frogspuppets,Frogs Puppets,1173554558
titaniumcheeto, Titanium Cheeto (BRC-420),1163182647
ordirats,OrdiRats,1158978265
driforianangels,Driforian Angels,1140480517
apes-on-bitcoin,Apes on Bitcoin,1114437900
ordinal-fomojis,Genesis Fomojis,1114432000
runekingdom,RUNE KINGDOM,1110033993
gamestone,GameStone,1106890821
jsonmaxibiz,JSON Maxi Biz (JMB),1103462737
chubbypuppets,Chubby Puppets,1096349490
bitman,Bitman,1095551945
ordibots3d,Ordibots,1089608225
elemental_runes,Elemental Runes,1083436815
derp,DERP METADUMBPROTOCOL,1067793546
bitcoin-digits,Bitcoin Digits,1066091254
btc-frugs,Bitcoin Frugs,1064733669
asf,Anti Social Frogs,1063134270
npep,NakaPepes,1061395490
tfl,TradFiLines,1060221330
bitcoin-weirdos,Bitcoin Weirdos,1058923740
pixelpepes,Pixel Pepes,1055892839
motocats,Motocat Racing Club,1049358129
node-frogs,Node Frogs,1047128815
hashcrafters,Hashling Gear,1042059481
relics-protocol,$MBTC by Relics Protocol,1035896907
blockonblock,BOB on Genify,1035586802
punksonbitcoin,Punks On Bitcoin,1013448565
icon7,MICK7 MOUS7 by BLE77,1009123082
goldminers,Goldminers,1003384531
aneemoo,Aneemoo's,999800801
insurgence_debauchery,Insurgence by Debauchery ,998392937
unlisted-genesis,Unlisted,995683662
blocks_by_matrica,Blocks by Matrica,992390052
ordrain,OrdRain,990172364
ordinal_monkey_babies,Monkey Babies,989333034
hashstreams,hashstreams,989204945
dmtnatfrogs,Nat Frogs,985171990
mysticrunes,Mystic Runes Boost,984143751
bitcoin-boos,Bitcoin Boos,976650000
untitled,Untitled,975667894
onespark,OneSpark,969839346
unisat-og-pass,Unisat OG Pass Collection,966129000
bitboy_one_genesis,BitBoy One Genesis,952072177
unsanctioned_wizards,Unsanctioned Wizards,949075658
dropouts,Dropouts,947832122
npepv2,NakaPEPE V2,941367456
skysquiggles,Sky Squiggles,938562100
nodemonkes-honoraries,NodeMonkes Honoraries,935034320
ordinal-faces,Ordinal Faces,933895000
drklist,Dark City Collection,930566459
natmonkeys,NatMonkeys,922496219
pixogette,Pixogette,914168788
idiots,IDIOTS,910391683
battle-of-btc,Battle of BTC,905307492
bambos,BAMBOS,905176065
airhead_whale_pass,Airhead Whale Pass,903457999
twelvefrog,Twelve Frog,901632500
genesis_runes,Genesis Runes Miner,896959638
maxis,Anti NFT BTC Maxis,893380000
bitlendogpass,Bitlend OG Pass,891587279
nbo,New Bitcoin Order (NBO),885396506
ordbirds,Ordbirds,884762465
bitcoinpandas,Genesis Panz,872578183
ordinookis,Ordinookis,865968606
rogroks,Rogroks,863698353
x_monkes,xMonkes,856631430
ordinalpixels,Ordinal Pixels,848791162
pepespizza,Pepes Pizza,845640000
chaos,DMT-Chaos,843826706
mutantpunks,MutantPunks,841540030
speculum-aeternum,Speculum Aeternum,838336700
patoshipunks,PatoshiPunks,837984191
ordinal-tortoises,Ordinal Tortoises,836913038
ninja,Hacker Ninjas,834485050
ordimouse,OrdiMouse,833157073
